Iteration,Naive Bayes,Hoeffding Tree,IELM,SGD Perceptron
144,0.5903,0.9653,0.9722,0.9097
145,0.5931,0.9655,0.9724,0.9103
146,0.5959,0.9658,0.9726,0.9110
147,0.5986,0.9660,0.9728,0.9116
148,0.6014,0.9662,0.9730,0.9122
149,0.6040,0.9664,0.9732,0.9128
150,0.6067,0.9667,0.9733,0.9133
151,0.6093,0.9669,0.9735,0.9139
152,0.6118,0.9671,0.9737,0.9145
153,0.6078,0.9673,0.9739,0.9085
154,0.6104,0.9675,0.9740,0.9091
155,0.6065,0.9677,0.9742,0.9097
156,0.6026,0.9679,0.9744,0.9103
157,0.5987,0.9682,0.9745,0.9108
158,0.6013,0.9684,0.9747,0.9114
159,0.6038,0.9686,0.9748,0.9057
160,0.6062,0.9688,0.9750,0.9062
161,0.6087,0.9689,0.9752,0.9068
162,0.6049,0.9691,0.9753,0.9074
163,0.6074,0.9693,0.9755,0.9080
164,0.6098,0.9695,0.9756,0.9085
165,0.6061,0.9697,0.9758,0.9091
166,0.6024,0.9699,0.9759,0.9096
167,0.6048,0.9701,0.9760,0.9102
168,0.6071,0.9702,0.9702,0.9107
169,0.6036,0.9704,0.9704,0.9112
170,0.6000,0.9706,0.9706,0.9118
171,0.6023,0.9708,0.9708,0.9123
172,0.5988,0.9709,0.9709,0.9128
173,0.6012,0.9711,0.9711,0.9133
174,0.5977,0.9713,0.9713,0.9080
175,0.5943,0.9714,0.9714,0.9086
176,0.5909,0.9716,0.9716,0.9091
177,0.5932,0.9718,0.9718,0.9096
178,0.5955,0.9719,0.9719,0.9045
179,0.5922,0.9721,0.9721,0.9050
180,0.5944,0.9722,0.9722,0.9056
181,0.5967,0.9724,0.9724,0.9061
182,0.5934,0.9725,0.9725,0.9066
183,0.5902,0.9727,0.9727,0.9071
184,0.5924,0.9728,0.9728,0.9076
185,0.5946,0.9730,0.9730,0.9081
186,0.5968,0.9731,0.9731,0.9086
187,0.5936,0.9733,0.9733,0.9091
188,0.5904,0.9734,0.9734,0.9096
189,0.5873,0.9735,0.9735,0.9101
190,0.5895,0.9737,0.9737,0.9105
191,0.5864,0.9738,0.9738,0.9110
192,0.5833,0.9740,0.9740,0.9115
193,0.5855,0.9741,0.9741,0.9119
194,0.5876,0.9742,0.9742,0.9124
195,0.5846,0.9744,0.9744,0.9128
196,0.5867,0.9745,0.9745,0.9133
197,0.5888,0.9746,0.9746,0.9137
198,0.5909,0.9747,0.9747,0.9141
199,0.5930,0.9749,0.9749,0.9146
200,0.5900,0.9750,0.9750,0.9100
201,0.5920,0.9751,0.9751,0.9104
202,0.5891,0.9752,0.9752,0.9109
203,0.5862,0.9754,0.9754,0.9113
204,0.5833,0.9755,0.9755,0.9118
205,0.5854,0.9756,0.9756,0.9122
206,0.5874,0.9757,0.9757,0.9126
207,0.5894,0.9758,0.9758,0.9130
208,0.5865,0.9760,0.9760,0.9135
209,0.5885,0.9761,0.9713,0.9139
210,0.5857,0.9762,0.9714,0.9143
211,0.5829,0.9763,0.9716,0.9147
212,0.5802,0.9764,0.9717,0.9151
213,0.5822,0.9765,0.9718,0.9155
214,0.5841,0.9766,0.9720,0.9159
215,0.5860,0.9767,0.9721,0.9163
216,0.5833,0.9769,0.9722,0.9167
217,0.5853,0.9770,0.9724,0.9171
218,0.5872,0.9771,0.9725,0.9128
219,0.5845,0.9772,0.9726,0.9132
220,0.5864,0.9773,0.9727,0.9136
221,0.5837,0.9774,0.9729,0.9140
222,0.5856,0.9775,0.9730,0.9144
223,0.5830,0.9776,0.9731,0.9148
224,0.5804,0.9777,0.9732,0.9152
225,0.5778,0.9778,0.9733,0.9156
226,0.5796,0.9779,0.9735,0.9159
227,0.5771,0.9780,0.9736,0.9163
228,0.5746,0.9781,0.9737,0.9167
229,0.5764,0.9782,0.9738,0.9170
230,0.5739,0.9783,0.9739,0.9174
231,0.5714,0.9784,0.9740,0.9177
232,0.5733,0.9784,0.9741,0.9181
233,0.5708,0.9785,0.9742,0.9185
234,0.5726,0.9786,0.9744,0.9188
235,0.5745,0.9787,0.9745,0.9191
236,0.5763,0.9788,0.9746,0.9195
237,0.5781,0.9789,0.9747,0.9198
238,0.5798,0.9790,0.9748,0.9202
239,0.5816,0.9791,0.9749,0.9205
240,0.5792,0.9792,0.9750,0.9208
241,0.5768,0.9793,0.9751,0.9212
242,0.5785,0.9793,0.9752,0.9215
243,0.5761,0.9794,0.9753,0.9218
244,0.5779,0.9795,0.9754,0.9221
245,0.5796,0.9796,0.9755,0.9224
246,0.5813,0.9797,0.9756,0.9228
247,0.5830,0.9798,0.9757,0.9231
248,0.5847,0.9798,0.9758,0.9234
249,0.5863,0.9799,0.9759,0.9237
250,0.5840,0.9800,0.9760,0.9240
251,0.5857,0.9801,0.9761,0.9243
252,0.5873,0.9802,0.9762,0.9246
253,0.5889,0.9802,0.9763,0.9249
254,0.5906,0.9803,0.9764,0.9252
255,0.5922,0.9804,0.9765,0.9255
256,0.5898,0.9805,0.9766,0.9258
257,0.5914,0.9805,0.9767,0.9261
258,0.5930,0.9806,0.9767,0.9264
259,0.5946,0.9807,0.9768,0.9266
260,0.5923,0.9808,0.9769,0.9269
261,0.5939,0.9808,0.9770,0.9272
262,0.5954,0.9809,0.9771,0.9275
263,0.5970,0.9810,0.9772,0.9278
264,0.5985,0.9811,0.9773,0.9280
265,0.5962,0.9811,0.9774,0.9283
266,0.5940,0.9812,0.9774,0.9286
267,0.5955,0.9813,0.9775,0.9288
268,0.5933,0.9813,0.9776,0.9291
269,0.5948,0.9814,0.9777,0.9294
270,0.5963,0.9815,0.9778,0.9296
271,0.5978,0.9815,0.9779,0.9299
272,0.5956,0.9816,0.9779,0.9301
273,0.5934,0.9817,0.9780,0.9304
274,0.5912,0.9818,0.9781,0.9307
275,0.5891,0.9818,0.9782,0.9309
276,0.5906,0.9819,0.9783,0.9312
277,0.5921,0.9819,0.9783,0.9314
278,0.5899,0.9820,0.9784,0.9317
279,0.5914,0.9821,0.9785,0.9319
280,0.5929,0.9821,0.9786,0.9321
281,0.5907,0.9822,0.9786,0.9324
282,0.5922,0.9823,0.9787,0.9326
283,0.5936,0.9823,0.9788,0.9329
284,0.5951,0.9824,0.9789,0.9331
285,0.5930,0.9825,0.9789,0.9333
286,0.5944,0.9825,0.9790,0.9336
287,0.5958,0.9826,0.9791,0.9338
288,0.5972,0.9826,0.9792,0.9340
289,0.5952,0.9827,0.9792,0.9343
290,0.5931,0.9828,0.9793,0.9345
291,0.5945,0.9828,0.9794,0.9347
292,0.5959,0.9829,0.9795,0.9349
293,0.5939,0.9829,0.9795,0.9352
294,0.5918,0.9830,0.9796,0.9354
295,0.5898,0.9831,0.9797,0.9356
296,0.5912,0.9831,0.9797,0.9358
297,0.5892,0.9832,0.9798,0.9360
298,0.5872,0.9832,0.9799,0.9362
299,0.5886,0.9833,0.9799,0.9365
300,0.5867,0.9833,0.9800,0.9367
301,0.5880,0.9834,0.9801,0.9369
302,0.5861,0.9834,0.9801,0.9371
303,0.5875,0.9835,0.9802,0.9373
304,0.5888,0.9836,0.9803,0.9375
305,0.5869,0.9836,0.9803,0.9377
306,0.5882,0.9837,0.9804,0.9379
307,0.5863,0.9837,0.9805,0.9381
308,0.5844,0.9838,0.9805,0.9383
309,0.5825,0.9838,0.9806,0.9385
310,0.5806,0.9839,0.9806,0.9387
311,0.5820,0.9839,0.9807,0.9389
312,0.5801,0.9840,0.9808,0.9391
313,0.5783,0.9840,0.9808,0.9393
314,0.5796,0.9841,0.9809,0.9395
315,0.5810,0.9841,0.9810,0.9397
316,0.5823,0.9842,0.9810,0.9399
317,0.5836,0.9842,0.9811,0.9401
318,0.5818,0.9843,0.9811,0.9403
319,0.5799,0.9843,0.9812,0.9373
320,0.5781,0.9844,0.9812,0.9375
321,0.5794,0.9844,0.9813,0.9377
322,0.5807,0.9845,0.9814,0.9379
323,0.5789,0.9845,0.9814,0.9381
324,0.5802,0.9846,0.9815,0.9383
325,0.5815,0.9846,0.9815,0.9385
326,0.5798,0.9847,0.9816,0.9387
327,0.5780,0.9847,0.9817,0.9388
328,0.5793,0.9848,0.9817,0.9390
329,0.5775,0.9848,0.9818,0.9392
330,0.5788,0.9848,0.9818,0.9394
331,0.5801,0.9849,0.9819,0.9396
332,0.5813,0.9849,0.9819,0.9398
333,0.5826,0.9850,0.9820,0.9399
334,0.5838,0.9850,0.9820,0.9401
335,0.5821,0.9851,0.9821,0.9403
336,0.5833,0.9851,0.9821,0.9405
337,0.5816,0.9852,0.9822,0.9407
338,0.5828,0.9852,0.9822,0.9379
339,0.5811,0.9853,0.9823,0.9381
340,0.5794,0.9853,0.9824,0.9382
341,0.5777,0.9853,0.9824,0.9384
342,0.5760,0.9854,0.9825,0.9386
343,0.5773,0.9854,0.9825,0.9388
344,0.5785,0.9855,0.9826,0.9390
345,0.5768,0.9855,0.9826,0.9391
346,0.5780,0.9855,0.9827,0.9393
347,0.5793,0.9856,0.9827,0.9395
348,0.5805,0.9856,0.9828,0.9397
349,0.5817,0.9857,0.9828,0.9398
350,0.5800,0.9857,0.9829,0.9400
351,0.5783,0.9858,0.9829,0.9402
352,0.5795,0.9858,0.9830,0.9403
353,0.5807,0.9858,0.9830,0.9405
354,0.5819,0.9859,0.9831,0.9407
355,0.5803,0.9859,0.9831,0.9408
356,0.5815,0.9860,0.9831,0.9410
357,0.5798,0.9860,0.9832,0.9412
358,0.5782,0.9860,0.9832,0.9413
359,0.5794,0.9861,0.9833,0.9415
360,0.5806,0.9861,0.9833,0.9417
361,0.5817,0.9861,0.9834,0.9418
362,0.5829,0.9862,0.9834,0.9420
363,0.5813,0.9862,0.9835,0.9421
364,0.5797,0.9863,0.9835,0.9423
365,0.5781,0.9863,0.9836,0.9425
366,0.5792,0.9863,0.9836,0.9426
367,0.5804,0.9864,0.9837,0.9428
368,0.5815,0.9864,0.9837,0.9429
369,0.5799,0.9864,0.9837,0.9431
370,0.5784,0.9865,0.9838,0.9432
371,0.5795,0.9865,0.9838,0.9434
372,0.5806,0.9866,0.9839,0.9435
373,0.5791,0.9866,0.9839,0.9437
374,0.5775,0.9866,0.9840,0.9439
375,0.5760,0.9867,0.9840,0.9440
376,0.5771,0.9867,0.9840,0.9441
377,0.5782,0.9867,0.9841,0.9443
378,0.5794,0.9868,0.9841,0.9444
379,0.5778,0.9868,0.9842,0.9446
380,0.5789,0.9868,0.9842,0.9447
381,0.5801,0.9869,0.9843,0.9449
382,0.5785,0.9869,0.9843,0.9450
383,0.5770,0.9869,0.9843,0.9452
384,0.5781,0.9870,0.9844,0.9453
385,0.5792,0.9870,0.9844,0.9455
386,0.5803,0.9870,0.9845,0.9456
387,0.5788,0.9871,0.9845,0.9457
388,0.5799,0.9871,0.9845,0.9459
389,0.5810,0.9871,0.9846,0.9460
390,0.5821,0.9872,0.9846,0.9462
391,0.5831,0.9872,0.9847,0.9463
392,0.5816,0.9872,0.9847,0.9464
393,0.5802,0.9873,0.9847,0.9466
394,0.5812,0.9873,0.9848,0.9467
395,0.5797,0.9873,0.9848,0.9468
396,0.5783,0.9874,0.9848,0.9470
397,0.5768,0.9874,0.9849,0.9471
398,0.5779,0.9874,0.9849,0.9472
399,0.5789,0.9875,0.9850,0.9474
400,0.5800,0.9875,0.9850,0.9475
401,0.5810,0.9875,0.9850,0.9476
402,0.5821,0.9876,0.9851,0.9478
403,0.5831,0.9876,0.9851,0.9479
404,0.5842,0.9876,0.9851,0.9480
405,0.5827,0.9877,0.9852,0.9481
406,0.5837,0.9877,0.9852,0.9483
407,0.5848,0.9877,0.9853,0.9484
408,0.5833,0.9877,0.9853,0.9485
409,0.5844,0.9878,0.9853,0.9487
410,0.5829,0.9878,0.9854,0.9488
411,0.5839,0.9878,0.9854,0.9489
412,0.5825,0.9879,0.9854,0.9490
413,0.5811,0.9879,0.9855,0.9492
414,0.5797,0.9879,0.9855,0.9493
415,0.5807,0.9880,0.9855,0.9494
416,0.5817,0.9880,0.9856,0.9495
417,0.5827,0.9880,0.9856,0.9496
418,0.5837,0.9880,0.9856,0.9498
419,0.5823,0.9881,0.9857,0.9499
420,0.5833,0.9881,0.9857,0.9500
421,0.5819,0.9881,0.9857,0.9501
422,0.5829,0.9882,0.9858,0.9502
423,0.5839,0.9882,0.9858,0.9504
424,0.5849,0.9882,0.9858,0.9505
425,0.5859,0.9882,0.9859,0.9506
426,0.5845,0.9883,0.9859,0.9507
427,0.5831,0.9883,0.9859,0.9508
428,0.5841,0.9883,0.9860,0.9509
429,0.5828,0.9883,0.9860,0.9510
430,0.5837,0.9884,0.9860,0.9512
431,0.5847,0.9884,0.9861,0.9513
432,0.5856,0.9884,0.9861,0.9514
433,0.5843,0.9885,0.9861,0.9515
434,0.5853,0.9885,0.9862,0.9516
435,0.5862,0.9885,0.9862,0.9517
436,0.5849,0.9885,0.9862,0.9518
437,0.5858,0.9886,0.9863,0.9519
438,0.5845,0.9886,0.9863,0.9521
439,0.5831,0.9886,0.9863,0.9522
440,0.5818,0.9886,0.9864,0.9523
441,0.5828,0.9887,0.9864,0.9524
442,0.5814,0.9887,0.9864,0.9525
443,0.5801,0.9887,0.9865,0.9526
444,0.5788,0.9887,0.9865,0.9527
445,0.5798,0.9888,0.9865,0.9528
446,0.5807,0.9888,0.9865,0.9529
447,0.5817,0.9888,0.9866,0.9530
448,0.5826,0.9888,0.9866,0.9531
449,0.5813,0.9889,0.9866,0.9532
450,0.5822,0.9889,0.9867,0.9533
451,0.5809,0.9889,0.9867,0.9534
452,0.5819,0.9889,0.9867,0.9535
453,0.5806,0.9890,0.9868,0.9536
454,0.5793,0.9890,0.9868,0.9537
455,0.5780,0.9890,0.9868,0.9538
456,0.5789,0.9890,0.9868,0.9539
457,0.5799,0.9891,0.9869,0.9540
458,0.5786,0.9891,0.9869,0.9541
459,0.5795,0.9891,0.9869,0.9542
460,0.5783,0.9891,0.9870,0.9543
461,0.5792,0.9892,0.9870,0.9544
462,0.5779,0.9892,0.9870,0.9545
463,0.5767,0.9892,0.9870,0.9546
464,0.5754,0.9892,0.9871,0.9547
465,0.5742,0.9892,0.9871,0.9548
466,0.5751,0.9893,0.9871,0.9549
467,0.5760,0.9893,0.9872,0.9550
468,0.5769,0.9893,0.9872,0.9551
469,0.5778,0.9893,0.9872,0.9552
470,0.5766,0.9894,0.9872,0.9553
471,0.5754,0.9894,0.9873,0.9554
472,0.5742,0.9894,0.9873,0.9555
473,0.5729,0.9894,0.9873,0.9556
474,0.5717,0.9895,0.9873,0.9536
475,0.5726,0.9895,0.9874,0.9537
476,0.5735,0.9895,0.9874,0.9538
477,0.5723,0.9895,0.9874,0.9539
478,0.5732,0.9895,0.9874,0.9540
479,0.5720,0.9896,0.9875,0.9541
480,0.5729,0.9896,0.9875,0.9542
481,0.5738,0.9896,0.9875,0.9543
482,0.5747,0.9896,0.9876,0.9544
483,0.5756,0.9896,0.9876,0.9545
484,0.5744,0.9897,0.9876,0.9545
485,0.5732,0.9897,0.9876,0.9546
486,0.5741,0.9897,0.9877,0.9547
487,0.5749,0.9897,0.9877,0.9548
488,0.5738,0.9898,0.9877,0.9549
489,0.5746,0.9898,0.9877,0.9550
