Iteration,Naive Bayes,Hoeffding Tree,IELM,SGD Perceptron
144,0.9653,0.9583,0.9583,0.9236
145,0.9655,0.9586,0.9586,0.9241
146,0.9658,0.9589,0.9589,0.9247
147,0.9660,0.9592,0.9592,0.9252
148,0.9662,0.9595,0.9595,0.9257
149,0.9664,0.9597,0.9597,0.9262
150,0.9667,0.9600,0.9600,0.9267
151,0.9669,0.9603,0.9603,0.9272
152,0.9671,0.9605,0.9605,0.9276
153,0.9673,0.9608,0.9608,0.9281
154,0.9675,0.9610,0.9610,0.9286
155,0.9677,0.9613,0.9613,0.9290
156,0.9679,0.9615,0.9615,0.9295
157,0.9682,0.9618,0.9618,0.9299
158,0.9684,0.9620,0.9620,0.9241
159,0.9686,0.9623,0.9623,0.9245
160,0.9688,0.9625,0.9625,0.9250
161,0.9627,0.9565,0.9565,0.9193
162,0.9630,0.9568,0.9568,0.9198
163,0.9632,0.9571,0.9571,0.9202
164,0.9634,0.9573,0.9573,0.9207
165,0.9636,0.9576,0.9576,0.9212
166,0.9639,0.9578,0.9578,0.9217
167,0.9641,0.9581,0.9581,0.9222
168,0.9643,0.9583,0.9583,0.9226
169,0.9645,0.9586,0.9586,0.9231
170,0.9647,0.9588,0.9588,0.9235
171,0.9649,0.9591,0.9591,0.9240
172,0.9651,0.9593,0.9593,0.9244
173,0.9653,0.9595,0.9595,0.9249
174,0.9655,0.9598,0.9598,0.9253
175,0.9657,0.9600,0.9600,0.9257
176,0.9659,0.9602,0.9545,0.9261
177,0.9661,0.9605,0.9548,0.9266
178,0.9663,0.9607,0.9551,0.9270
179,0.9665,0.9609,0.9553,0.9218
180,0.9667,0.9611,0.9556,0.9222
181,0.9669,0.9613,0.9558,0.9227
182,0.9670,0.9615,0.9560,0.9231
183,0.9672,0.9617,0.9563,0.9235
184,0.9674,0.9620,0.9565,0.9239
185,0.9676,0.9622,0.9568,0.9243
186,0.9677,0.9624,0.9570,0.9247
187,0.9679,0.9626,0.9572,0.9251
188,0.9681,0.9628,0.9574,0.9255
189,0.9683,0.9630,0.9577,0.9259
190,0.9684,0.9632,0.9579,0.9263
191,0.9686,0.9634,0.9581,0.9267
192,0.9688,0.9635,0.9583,0.9271
193,0.9689,0.9637,0.9534,0.9223
194,0.9691,0.9639,0.9536,0.9227
195,0.9692,0.9641,0.9538,0.9231
196,0.9694,0.9643,0.9541,0.9235
197,0.9695,0.9645,0.9543,0.9239
198,0.9697,0.9646,0.9545,0.9242
199,0.9698,0.9648,0.9548,0.9246
200,0.9700,0.9650,0.9550,0.9250
201,0.9701,0.9652,0.9552,0.9254
202,0.9703,0.9653,0.9554,0.9257
203,0.9704,0.9655,0.9557,0.9261
204,0.9706,0.9657,0.9559,0.9265
205,0.9707,0.9659,0.9561,0.9268
206,0.9709,0.9660,0.9563,0.9272
207,0.9710,0.9662,0.9565,0.9275
208,0.9712,0.9663,0.9567,0.9279
209,0.9713,0.9665,0.9569,0.9282
210,0.9714,0.9667,0.9571,0.9286
211,0.9716,0.9668,0.9573,0.9289
212,0.9717,0.9670,0.9575,0.9292
213,0.9718,0.9671,0.9577,0.9296
214,0.9720,0.9673,0.9579,0.9299
215,0.9721,0.9674,0.9581,0.9302
216,0.9722,0.9676,0.9583,0.9306
217,0.9724,0.9677,0.9585,0.9309
218,0.9725,0.9679,0.9587,0.9266
219,0.9726,0.9680,0.9589,0.9269
220,0.9727,0.9682,0.9591,0.9273
221,0.9729,0.9683,0.9593,0.9276
222,0.9730,0.9685,0.9595,0.9279
223,0.9731,0.9686,0.9596,0.9283
224,0.9732,0.9688,0.9598,0.9286
225,0.9733,0.9689,0.9600,0.9289
226,0.9690,0.9690,0.9558,0.9248
227,0.9692,0.9692,0.9559,0.9251
228,0.9693,0.9693,0.9561,0.9211
229,0.9694,0.9694,0.9563,0.9214
230,0.9696,0.9696,0.9565,0.9217
231,0.9697,0.9697,0.9567,0.9221
232,0.9698,0.9698,0.9569,0.9224
233,0.9700,0.9700,0.9571,0.9227
234,0.9701,0.9701,0.9573,0.9231
235,0.9702,0.9702,0.9574,0.9234
236,0.9703,0.9703,0.9576,0.9237
237,0.9705,0.9705,0.9578,0.9241
238,0.9706,0.9706,0.9580,0.9244
239,0.9707,0.9707,0.9582,0.9247
240,0.9708,0.9708,0.9583,0.9250
241,0.9710,0.9710,0.9585,0.9253
242,0.9711,0.9711,0.9587,0.9256
243,0.9712,0.9712,0.9588,0.9259
244,0.9713,0.9713,0.9590,0.9262
245,0.9714,0.9714,0.9592,0.9265
246,0.9715,0.9715,0.9593,0.9268
247,0.9717,0.9717,0.9595,0.9271
248,0.9718,0.9718,0.9597,0.9274
249,0.9719,0.9719,0.9598,0.9277
250,0.9720,0.9720,0.9600,0.9280
251,0.9721,0.9721,0.9602,0.9283
252,0.9722,0.9722,0.9603,0.9286
253,0.9723,0.9723,0.9605,0.9289
254,0.9724,0.9724,0.9606,0.9291
255,0.9725,0.9725,0.9608,0.9294
256,0.9727,0.9727,0.9609,0.9297
257,0.9728,0.9728,0.9611,0.9300
258,0.9729,0.9729,0.9612,0.9302
259,0.9730,0.9730,0.9614,0.9305
260,0.9731,0.9731,0.9615,0.9308
261,0.9732,0.9732,0.9617,0.9310
262,0.9733,0.9733,0.9618,0.9313
263,0.9734,0.9734,0.9620,0.9316
264,0.9735,0.9735,0.9621,0.9318
265,0.9736,0.9736,0.9623,0.9321
266,0.9737,0.9737,0.9624,0.9323
267,0.9738,0.9738,0.9625,0.9326
268,0.9739,0.9739,0.9627,0.9328
269,0.9740,0.9740,0.9628,0.9331
270,0.9741,0.9741,0.9630,0.9333
271,0.9742,0.9742,0.9631,0.9336
272,0.9743,0.9743,0.9632,0.9338
273,0.9744,0.9744,0.9634,0.9341
274,0.9745,0.9745,0.9635,0.9343
275,0.9745,0.9745,0.9636,0.9345
276,0.9746,0.9746,0.9638,0.9348
277,0.9747,0.9747,0.9639,0.9350
278,0.9748,0.9748,0.9640,0.9353
279,0.9749,0.9749,0.9642,0.9355
280,0.9750,0.9750,0.9643,0.9357
281,0.9751,0.9751,0.9644,0.9359
282,0.9752,0.9752,0.9645,0.9362
283,0.9753,0.9753,0.9647,0.9364
284,0.9754,0.9754,0.9648,0.9366
285,0.9754,0.9754,0.9649,0.9368
286,0.9755,0.9755,0.9650,0.9371
287,0.9756,0.9756,0.9652,0.9373
288,0.9757,0.9757,0.9653,0.9375
289,0.9758,0.9758,0.9654,0.9377
290,0.9759,0.9759,0.9655,0.9379
291,0.9759,0.9759,0.9656,0.9381
292,0.9760,0.9760,0.9658,0.9384
293,0.9761,0.9761,0.9659,0.9386
294,0.9762,0.9762,0.9660,0.9388
295,0.9763,0.9763,0.9661,0.9390
296,0.9764,0.9764,0.9662,0.9392
297,0.9764,0.9764,0.9663,0.9394
298,0.9765,0.9765,0.9664,0.9396
299,0.9766,0.9766,0.9666,0.9398
300,0.9767,0.9767,0.9667,0.9400
301,0.9767,0.9767,0.9668,0.9402
302,0.9768,0.9768,0.9669,0.9404
303,0.9769,0.9769,0.9670,0.9406
304,0.9770,0.9770,0.9671,0.9408
305,0.9770,0.9770,0.9672,0.9410
306,0.9771,0.9771,0.9673,0.9412
307,0.9772,0.9772,0.9674,0.9414
308,0.9773,0.9773,0.9675,0.9416
309,0.9773,0.9773,0.9676,0.9417
310,0.9774,0.9774,0.9677,0.9419
311,0.9775,0.9775,0.9678,0.9421
312,0.9776,0.9776,0.9679,0.9423
313,0.9776,0.9776,0.9681,0.9425
314,0.9777,0.9777,0.9682,0.9427
315,0.9778,0.9778,0.9683,0.9429
316,0.9778,0.9778,0.9684,0.9430
317,0.9779,0.9779,0.9685,0.9432
318,0.9780,0.9780,0.9686,0.9434
319,0.9781,0.9781,0.9687,0.9436
320,0.9781,0.9781,0.9688,0.9437
321,0.9782,0.9782,0.9688,0.9439
322,0.9783,0.9783,0.9689,0.9441
323,0.9752,0.9783,0.9659,0.9412
324,0.9753,0.9784,0.9660,0.9414
325,0.9754,0.9785,0.9662,0.9415
326,0.9755,0.9785,0.9663,0.9417
327,0.9755,0.9786,0.9664,0.9419
328,0.9756,0.9787,0.9665,0.9390
329,0.9757,0.9787,0.9666,0.9392
330,0.9758,0.9788,0.9667,0.9394
331,0.9728,0.9789,0.9637,0.9366
332,0.9729,0.9789,0.9639,0.9337
333,0.9730,0.9790,0.9640,0.9339
334,0.9731,0.9790,0.9641,0.9341
335,0.9731,0.9791,0.9642,0.9343
336,0.9732,0.9792,0.9643,0.9345
337,0.9733,0.9792,0.9644,0.9347
338,0.9734,0.9793,0.9645,0.9349
339,0.9735,0.9794,0.9646,0.9351
340,0.9735,0.9794,0.9647,0.9353
341,0.9736,0.9765,0.9648,0.9326
342,0.9737,0.9766,0.9649,0.9327
343,0.9738,0.9767,0.9650,0.9329
344,0.9738,0.9767,0.9651,0.9331
345,0.9739,0.9768,0.9652,0.9333
346,0.9740,0.9769,0.9653,0.9335
347,0.9741,0.9769,0.9654,0.9337
348,0.9741,0.9770,0.9655,0.9339
349,0.9742,0.9771,0.9656,0.9341
350,0.9743,0.9771,0.9657,0.9343
351,0.9715,0.9772,0.9630,0.9316
352,0.9716,0.9773,0.9631,0.9318
353,0.9717,0.9773,0.9632,0.9320
354,0.9718,0.9774,0.9633,0.9322
355,0.9718,0.9775,0.9634,0.9324
356,0.9719,0.9775,0.9635,0.9326
357,0.9720,0.9776,0.9636,0.9328
358,0.9721,0.9777,0.9637,0.9330
359,0.9721,0.9777,0.9638,0.9331
360,0.9722,0.9778,0.9639,0.9333
361,0.9723,0.9778,0.9640,0.9335
362,0.9724,0.9779,0.9641,0.9337
363,0.9725,0.9780,0.9642,0.9339
364,0.9725,0.9780,0.9643,0.9341
365,0.9726,0.9781,0.9644,0.9342
366,0.9727,0.9781,0.9645,0.9344
367,0.9728,0.9782,0.9646,0.9346
368,0.9728,0.9755,0.9647,0.9321
369,0.9729,0.9756,0.9648,0.9322
370,0.9730,0.9757,0.9649,0.9324
371,0.9730,0.9757,0.9650,0.9326
372,0.9731,0.9758,0.9651,0.9328
373,0.9732,0.9759,0.9651,0.9330
374,0.9733,0.9759,0.9652,0.9332
375,0.9733,0.9760,0.9653,0.9333
376,0.9734,0.9761,0.9654,0.9335
377,0.9735,0.9761,0.9655,0.9337
378,0.9735,0.9762,0.9656,0.9339
379,0.9710,0.9763,0.9657,0.9314
380,0.9711,0.9763,0.9658,0.9316
381,0.9711,0.9764,0.9659,0.9318
382,0.9712,0.9764,0.9660,0.9319
383,0.9713,0.9765,0.9661,0.9321
384,0.9714,0.9766,0.9661,0.9323
385,0.9714,0.9766,0.9662,0.9325
386,0.9715,0.9767,0.9663,0.9326
387,0.9716,0.9767,0.9664,0.9328
388,0.9716,0.9768,0.9665,0.9330
389,0.9717,0.9769,0.9666,0.9332
390,0.9718,0.9769,0.9667,0.9333
391,0.9719,0.9770,0.9668,0.9335
392,0.9719,0.9770,0.9668,0.9337
393,0.9720,0.9771,0.9669,0.9338
394,0.9721,0.9772,0.9670,0.9340
395,0.9722,0.9772,0.9671,0.9316
396,0.9722,0.9773,0.9672,0.9318
397,0.9723,0.9773,0.9673,0.9320
398,0.9724,0.9774,0.9673,0.9322
399,0.9724,0.9774,0.9674,0.9323
400,0.9725,0.9775,0.9675,0.9325
401,0.9726,0.9776,0.9676,0.9327
402,0.9726,0.9776,0.9677,0.9328
403,0.9727,0.9777,0.9677,0.9330
404,0.9728,0.9777,0.9678,0.9332
405,0.9728,0.9778,0.9679,0.9333
406,0.9704,0.9778,0.9655,0.9335
407,0.9681,0.9754,0.9631,0.9337
408,0.9681,0.9755,0.9632,0.9338
409,0.9682,0.9756,0.9633,0.9340
410,0.9683,0.9756,0.9634,0.9341
411,0.9684,0.9757,0.9635,0.9343
412,0.9684,0.9757,0.9636,0.9345
413,0.9685,0.9758,0.9637,0.9346
414,0.9686,0.9758,0.9638,0.9348
415,0.9687,0.9759,0.9639,0.9349
416,0.9688,0.9760,0.9639,0.9351
417,0.9688,0.9760,0.9640,0.9353
418,0.9689,0.9761,0.9641,0.9354
419,0.9690,0.9761,0.9642,0.9356
420,0.9690,0.9762,0.9643,0.9357
421,0.9691,0.9762,0.9644,0.9359
422,0.9692,0.9763,0.9645,0.9360
423,0.9693,0.9764,0.9645,0.9362
424,0.9693,0.9764,0.9646,0.9363
425,0.9694,0.9765,0.9647,0.9365
426,0.9695,0.9765,0.9648,0.9366
427,0.9696,0.9766,0.9649,0.9368
428,0.9696,0.9766,0.9650,0.9369
429,0.9697,0.9767,0.9650,0.9371
430,0.9698,0.9767,0.9651,0.9372
431,0.9698,0.9768,0.9652,0.9374
432,0.9699,0.9769,0.9653,0.9375
433,0.9700,0.9769,0.9654,0.9376
434,0.9700,0.9770,0.9654,0.9378
435,0.9701,0.9770,0.9655,0.9379
436,0.9702,0.9771,0.9656,0.9381
437,0.9703,0.9771,0.9657,0.9382
438,0.9703,0.9772,0.9658,0.9384
439,0.9681,0.9772,0.9658,0.9385
440,0.9682,0.9773,0.9659,0.9386
441,0.9683,0.9773,0.9660,0.9388
442,0.9683,0.9774,0.9661,0.9389
443,0.9684,0.9774,0.9661,0.9391
444,0.9685,0.9775,0.9662,0.9392
445,0.9685,0.9775,0.9663,0.9393
446,0.9686,0.9776,0.9664,0.9395
447,0.9687,0.9776,0.9664,0.9396
448,0.9688,0.9777,0.9665,0.9397
449,0.9688,0.9777,0.9666,0.9399
450,0.9689,0.9778,0.9667,0.9400
451,0.9690,0.9778,0.9667,0.9401
452,0.9690,0.9779,0.9668,0.9403
453,0.9691,0.9779,0.9669,0.9404
454,0.9692,0.9780,0.9670,0.9405
455,0.9692,0.9780,0.9670,0.9407
456,0.9693,0.9781,0.9671,0.9408
457,0.9694,0.9781,0.9672,0.9409
458,0.9694,0.9782,0.9672,0.9410
459,0.9695,0.9782,0.9673,0.9412
460,0.9696,0.9783,0.9674,0.9413
461,0.9696,0.9783,0.9675,0.9414
462,0.9697,0.9784,0.9675,0.9416
463,0.9698,0.9784,0.9676,0.9417
464,0.9698,0.9784,0.9677,0.9418
465,0.9699,0.9785,0.9677,0.9419
466,0.9700,0.9785,0.9678,0.9421
467,0.9679,0.9786,0.9657,0.9422
468,0.9679,0.9786,0.9658,0.9423
469,0.9680,0.9787,0.9659,0.9424
470,0.9681,0.9787,0.9660,0.9426
471,0.9682,0.9788,0.9660,0.9427
472,0.9682,0.9788,0.9661,0.9428
473,0.9683,0.9789,0.9662,0.9429
474,0.9684,0.9789,0.9662,0.9430
475,0.9684,0.9789,0.9663,0.9432
476,0.9685,0.9790,0.9664,0.9433
477,0.9686,0.9790,0.9665,0.9434
478,0.9686,0.9791,0.9665,0.9435
479,0.9687,0.9791,0.9666,0.9436
480,0.9688,0.9792,0.9667,0.9437
481,0.9688,0.9792,0.9667,0.9439
482,0.9689,0.9793,0.9668,0.9440
483,0.9689,0.9793,0.9669,0.9441
484,0.9690,0.9793,0.9669,0.9442
485,0.9691,0.9794,0.9670,0.9443
486,0.9691,0.9794,0.9671,0.9444
487,0.9692,0.9795,0.9671,0.9446
488,0.9693,0.9795,0.9672,0.9447
489,0.9693,0.9796,0.9673,0.9448
490,0.9694,0.9796,0.9673,0.9449
491,0.9695,0.9796,0.9674,0.9450
492,0.9695,0.9797,0.9675,0.9451
493,0.9696,0.9797,0.9675,0.9452
494,0.9696,0.9798,0.9676,0.9453
495,0.9697,0.9798,0.9677,0.9455
496,0.9698,0.9798,0.9677,0.9456
497,0.9698,0.9799,0.9678,0.9457
498,0.9699,0.9799,0.9679,0.9458
499,0.9699,0.9800,0.9679,0.9459
500,0.9700,0.9800,0.9680,0.9460
501,0.9720,0.9820,0.9700,0.9480
502,0.9720,0.9820,0.9700,0.9480
503,0.9720,0.9820,0.9700,0.9480
504,0.9720,0.9820,0.9700,0.9480
505,0.9720,0.9820,0.9700,0.9480
