Iteration,Gaussian NB,Hoeffding Tree,IELM,SGD Perceptron,Adaptive RF
117,0.8974,0.8974,0.8974,0.8718,0.9145
118,0.8983,0.8983,0.8983,0.8729,0.9153
119,0.8992,0.8992,0.8992,0.8739,0.9160
120,0.9000,0.9000,0.9000,0.8750,0.9167
121,0.9008,0.9008,0.9008,0.8760,0.9174
122,0.9016,0.9016,0.9016,0.8770,0.9180
123,0.9024,0.9024,0.9024,0.8780,0.9187
124,0.9032,0.9032,0.9032,0.8790,0.9194
125,0.9040,0.9040,0.9040,0.8800,0.9200
126,0.9048,0.9048,0.9048,0.8810,0.9206
127,0.9055,0.9055,0.9055,0.8819,0.9213
128,0.9062,0.9062,0.9062,0.8828,0.9219
129,0.9070,0.9070,0.8992,0.8837,0.9225
130,0.9077,0.9077,0.8923,0.8846,0.9231
131,0.9084,0.9084,0.8931,0.8855,0.9237
132,0.9091,0.9091,0.8939,0.8864,0.9242
133,0.9098,0.9098,0.8947,0.8872,0.9248
134,0.9104,0.9104,0.8881,0.8881,0.9254
135,0.9111,0.9111,0.8889,0.8889,0.9259
136,0.9118,0.9118,0.8897,0.8897,0.9265
137,0.9124,0.9124,0.8905,0.8905,0.9270
138,0.9130,0.9130,0.8913,0.8913,0.9275
139,0.9137,0.9137,0.8921,0.8921,0.9281
140,0.9143,0.9143,0.8929,0.8929,0.9286
141,0.9149,0.9149,0.8936,0.8936,0.9291
142,0.9155,0.9155,0.8944,0.8944,0.9296
143,0.9161,0.9091,0.8951,0.8951,0.9301
144,0.9167,0.9028,0.8958,0.8958,0.9306
145,0.9172,0.9034,0.8966,0.8966,0.9310
146,0.9178,0.9041,0.8973,0.8973,0.9315
147,0.9184,0.9048,0.8980,0.8980,0.9320
148,0.9189,0.9054,0.8986,0.8986,0.9324
149,0.9195,0.9060,0.8993,0.8993,0.9329
150,0.9200,0.9067,0.9000,0.9000,0.9333
151,0.9205,0.9073,0.9007,0.9007,0.9338
152,0.9211,0.9079,0.9013,0.9013,0.9342
153,0.9216,0.9085,0.9020,0.9020,0.9346
154,0.9221,0.9091,0.9026,0.9026,0.9351
155,0.9226,0.9097,0.9032,0.9032,0.9355
156,0.9231,0.9103,0.9038,0.9038,0.9359
157,0.9236,0.9108,0.9045,0.9045,0.9363
158,0.9241,0.9114,0.9051,0.9051,0.9367
159,0.9245,0.9119,0.9057,0.9057,0.9371
160,0.9250,0.9125,0.9062,0.9062,0.9375
161,0.9255,0.9130,0.9068,0.9068,0.9379
162,0.9259,0.9136,0.9074,0.9074,0.9383
163,0.9264,0.9080,0.9080,0.9080,0.9387
164,0.9268,0.9085,0.9085,0.9085,0.9390
165,0.9273,0.9091,0.9091,0.9091,0.9394
166,0.9277,0.9096,0.9096,0.9096,0.9398
167,0.9222,0.9042,0.9102,0.9042,0.9341
168,0.9226,0.8988,0.9107,0.9048,0.9345
169,0.9231,0.8935,0.9112,0.9053,0.9349
170,0.9235,0.8882,0.9118,0.9059,0.9353
171,0.9240,0.8830,0.9123,0.9064,0.9357
172,0.9244,0.8779,0.9128,0.9070,0.9360
173,0.9249,0.8786,0.9133,0.9075,0.9364
174,0.9253,0.8793,0.9138,0.9080,0.9368
175,0.9257,0.8800,0.9143,0.9086,0.9371
176,0.9261,0.8807,0.9148,0.9091,0.9375
177,0.9209,0.8757,0.9096,0.9096,0.9322
178,0.9213,0.8764,0.9101,0.9101,0.9326
179,0.9218,0.8771,0.9106,0.9106,0.9330
180,0.9167,0.8722,0.9056,0.9111,0.9278
181,0.9116,0.8674,0.9061,0.9116,0.9227
182,0.9066,0.8626,0.9066,0.9121,0.9176
183,0.9016,0.8579,0.9071,0.9126,0.9126
184,0.8967,0.8533,0.9076,0.9130,0.9076
185,0.8919,0.8486,0.9081,0.9135,0.9027
186,0.8871,0.8441,0.9086,0.9140,0.8978
187,0.8824,0.8396,0.9091,0.9091,0.8984
188,0.8777,0.8351,0.9096,0.9096,0.8989
189,0.8730,0.8307,0.9101,0.9101,0.8995
190,0.8684,0.8263,0.9105,0.9105,0.9000
191,0.8691,0.8272,0.9058,0.9058,0.8953
192,0.8698,0.8281,0.9062,0.9062,0.8958
193,0.8653,0.8238,0.9067,0.9016,0.8912
194,0.8608,0.8196,0.9072,0.9021,0.8866
195,0.8564,0.8154,0.9077,0.9026,0.8821
196,0.8520,0.8112,0.9082,0.9031,0.8827
197,0.8477,0.8071,0.9086,0.9036,0.8832
198,0.8434,0.8030,0.9091,0.9040,0.8838
199,0.8442,0.8040,0.9095,0.9045,0.8844
200,0.8450,0.8050,0.9100,0.9050,0.8850
201,0.8458,0.8060,0.9104,0.9055,0.8856
202,0.8465,0.8069,0.9109,0.9059,0.8861
203,0.8473,0.8079,0.9113,0.9064,0.8867
204,0.8480,0.8088,0.9118,0.9069,0.8873
205,0.8488,0.8049,0.9122,0.9073,0.8878
206,0.8447,0.8010,0.9126,0.9078,0.8883
207,0.8454,0.8019,0.9130,0.9082,0.8889
208,0.8413,0.7981,0.9135,0.9087,0.8894
209,0.8373,0.7990,0.9139,0.9091,0.8900
210,0.8333,0.8000,0.9143,0.9095,0.8905
211,0.8294,0.8009,0.9147,0.9100,0.8910
212,0.8255,0.8019,0.9151,0.9104,0.8915
213,0.8263,0.8028,0.9155,0.9108,0.8920
214,0.8271,0.8037,0.9159,0.9112,0.8925
215,0.8233,0.8047,0.9163,0.9116,0.8930
216,0.8241,0.8056,0.9167,0.9120,0.8935
217,0.8249,0.8065,0.9171,0.9124,0.8940
218,0.8257,0.8073,0.9174,0.9128,0.8945
219,0.8265,0.8082,0.9178,0.9132,0.8950
220,0.8273,0.8091,0.9182,0.9136,0.8955
221,0.8281,0.8100,0.9186,0.9140,0.8959
222,0.8288,0.8108,0.9189,0.9144,0.8964
223,0.8251,0.8072,0.9148,0.9103,0.8924
224,0.8214,0.8036,0.9107,0.9107,0.8884
225,0.8222,0.8000,0.9067,0.9111,0.8844
226,0.8230,0.7965,0.9027,0.9115,0.8805
227,0.8238,0.7930,0.8987,0.9119,0.8767
228,0.8246,0.7939,0.8947,0.9123,0.8728
229,0.8253,0.7948,0.8908,0.9083,0.8690
230,0.8261,0.7957,0.8870,0.9087,0.8652
231,0.8268,0.7965,0.8874,0.9091,0.8615
232,0.8276,0.7974,0.8879,0.9095,0.8621
233,0.8283,0.7983,0.8884,0.9056,0.8627
234,0.8291,0.7991,0.8889,0.9060,0.8632
235,0.8298,0.8000,0.8894,0.9064,0.8638
236,0.8305,0.8008,0.8898,0.9068,0.8644
237,0.8312,0.8017,0.8861,0.9072,0.8608
238,0.8319,0.8025,0.8866,0.9076,0.8613
239,0.8326,0.8033,0.8870,0.9079,0.8619
240,0.8333,0.8042,0.8875,0.9083,0.8625
241,0.8340,0.8050,0.8880,0.9087,0.8631
242,0.8347,0.8058,0.8884,0.9091,0.8636
243,0.8354,0.8066,0.8889,0.9095,0.8642
244,0.8361,0.8074,0.8893,0.9098,0.8648
245,0.8367,0.8082,0.8898,0.9102,0.8653
246,0.8333,0.8049,0.8862,0.9065,0.8618
247,0.8300,0.8016,0.8826,0.9069,0.8583
248,0.8266,0.7984,0.8831,0.9073,0.8589
249,0.8233,0.7952,0.8835,0.9076,0.8594
250,0.8200,0.7920,0.8840,0.9080,0.8600
251,0.8167,0.7888,0.8845,0.9084,0.8606
252,0.8135,0.7857,0.8849,0.9087,0.8611
253,0.8103,0.7826,0.8854,0.9091,0.8617
254,0.8110,0.7835,0.8819,0.9055,0.8622
255,0.8118,0.7843,0.8784,0.9059,0.8627
256,0.8125,0.7852,0.8750,0.9062,0.8633
257,0.8132,0.7860,0.8755,0.9066,0.8638
258,0.8140,0.7868,0.8760,0.9070,0.8643
259,0.8147,0.7876,0.8764,0.9073,0.8649
260,0.8154,0.7885,0.8769,0.9077,0.8654
261,0.8161,0.7893,0.8774,0.9080,0.8659
262,0.8168,0.7901,0.8779,0.9084,0.8664
263,0.8137,0.7871,0.8745,0.9087,0.8631
264,0.8144,0.7879,0.8750,0.9091,0.8636
265,0.8113,0.7887,0.8717,0.9094,0.8642
266,0.8083,0.7895,0.8722,0.9098,0.8647
267,0.8090,0.7903,0.8689,0.9101,0.8652
268,0.8097,0.7910,0.8657,0.9104,0.8657
269,0.8104,0.7918,0.8625,0.9108,0.8662
270,0.8111,0.7926,0.8593,0.9111,0.8667
271,0.8118,0.7934,0.8561,0.9114,0.8672
272,0.8125,0.7941,0.8566,0.9118,0.8676
273,0.8132,0.7949,0.8571,0.9121,0.8681
274,0.8139,0.7956,0.8577,0.9124,0.8686
275,0.8145,0.7964,0.8582,0.9127,0.8691
276,0.8152,0.7971,0.8587,0.9130,0.8696
277,0.8123,0.7978,0.8556,0.9097,0.8700
278,0.8129,0.7986,0.8561,0.9101,0.8705
279,0.8136,0.7993,0.8566,0.9104,0.8710
280,0.8143,0.8000,0.8571,0.9107,0.8714
281,0.8149,0.8007,0.8577,0.9110,0.8719
282,0.8156,0.8014,0.8582,0.9113,0.8723
283,0.8163,0.8021,0.8587,0.9117,0.8728
284,0.8169,0.8028,0.8592,0.9120,0.8732
285,0.8175,0.8035,0.8596,0.9123,0.8737
286,0.8182,0.8042,0.8601,0.9126,0.8741
287,0.8188,0.8049,0.8606,0.9129,0.8746
288,0.8194,0.8056,0.8611,0.9132,0.8750
289,0.8201,0.8062,0.8581,0.9135,0.8720
290,0.8207,0.8069,0.8586,0.9138,0.8690
291,0.8213,0.8076,0.8591,0.9141,0.8660
292,0.8219,0.8082,0.8596,0.9144,0.8630
293,0.8225,0.8089,0.8601,0.9147,0.8601
294,0.8231,0.8095,0.8605,0.9150,0.8605
295,0.8237,0.8102,0.8610,0.9153,0.8610
296,0.8243,0.8108,0.8615,0.9155,0.8615
297,0.8249,0.8114,0.8620,0.9158,0.8620
298,0.8255,0.8121,0.8624,0.9161,0.8624
299,0.8261,0.8127,0.8629,0.9164,0.8629
300,0.8267,0.8133,0.8633,0.9167,0.8633
301,0.8272,0.8140,0.8638,0.9169,0.8638
302,0.8278,0.8146,0.8642,0.9172,0.8642
303,0.8284,0.8119,0.8647,0.9175,0.8614
304,0.8289,0.8125,0.8651,0.9178,0.8618
305,0.8295,0.8131,0.8656,0.9180,0.8623
306,0.8301,0.8137,0.8660,0.9183,0.8627
307,0.8306,0.8143,0.8664,0.9186,0.8632
308,0.8312,0.8149,0.8669,0.9188,0.8636
309,0.8317,0.8155,0.8673,0.9191,0.8641
310,0.8323,0.8161,0.8645,0.9194,0.8645
311,0.8328,0.8167,0.8650,0.9196,0.8650
312,0.8333,0.8173,0.8654,0.9199,0.8654
313,0.8339,0.8179,0.8658,0.9201,0.8658
314,0.8344,0.8185,0.8662,0.9204,0.8662
315,0.8349,0.8190,0.8667,0.9206,0.8667
316,0.8354,0.8196,0.8671,0.9209,0.8671
317,0.8360,0.8202,0.8675,0.9211,0.8675
318,0.8365,0.8208,0.8679,0.9214,0.8679
319,0.8370,0.8213,0.8683,0.9216,0.8683
320,0.8375,0.8219,0.8688,0.9219,0.8688
321,0.8380,0.8224,0.8692,0.9221,0.8692
322,0.8385,0.8230,0.8696,0.9224,0.8696
323,0.8390,0.8235,0.8700,0.9226,0.8700
324,0.8395,0.8241,0.8704,0.9228,0.8704
325,0.8400,0.8246,0.8708,0.9231,0.8708
326,0.8405,0.8252,0.8712,0.9233,0.8712
327,0.8410,0.8257,0.8716,0.9235,0.8716
328,0.8415,0.8262,0.8720,0.9238,0.8720
329,0.8419,0.8267,0.8723,0.9240,0.8723
330,0.8424,0.8273,0.8727,0.9242,0.8727
331,0.8429,0.8278,0.8731,0.9245,0.8731
332,0.8434,0.8283,0.8735,0.9247,0.8735
333,0.8408,0.8258,0.8709,0.9219,0.8709
334,0.8383,0.8234,0.8683,0.9192,0.8683
335,0.8388,0.8239,0.8687,0.9164,0.8687
336,0.8363,0.8214,0.8690,0.9167,0.8661
337,0.8338,0.8220,0.8665,0.9169,0.8665
338,0.8314,0.8225,0.8639,0.9142,0.8669
339,0.8319,0.8230,0.8643,0.9145,0.8673
340,0.8324,0.8235,0.8647,0.9147,0.8676
341,0.8328,0.8240,0.8651,0.9150,0.8680
342,0.8333,0.8246,0.8655,0.9152,0.8684
343,0.8338,0.8251,0.8659,0.9155,0.8688
344,0.8343,0.8256,0.8663,0.9157,0.8692
345,0.8319,0.8261,0.8667,0.9159,0.8696
346,0.8295,0.8266,0.8671,0.9162,0.8699
347,0.8271,0.8271,0.8674,0.9164,0.8703
348,0.8247,0.8276,0.8649,0.9167,0.8707
349,0.8223,0.8281,0.8625,0.9169,0.8711
350,0.8229,0.8286,0.8629,0.9171,0.8686
351,0.8234,0.8291,0.8632,0.9174,0.8689
352,0.8239,0.8295,0.8636,0.9176,0.8693
353,0.8244,0.8300,0.8640,0.9178,0.8697
354,0.8249,0.8305,0.8644,0.9181,0.8701
355,0.8254,0.8310,0.8648,0.9183,0.8704
356,0.8258,0.8315,0.8652,0.9185,0.8708
357,0.8263,0.8319,0.8655,0.9188,0.8711
358,0.8240,0.8296,0.8631,0.9190,0.8687
359,0.8245,0.8301,0.8635,0.9192,0.8691
360,0.8250,0.8306,0.8639,0.9194,0.8694
361,0.8255,0.8310,0.8643,0.9197,0.8698
362,0.8260,0.8315,0.8646,0.9199,0.8702
363,0.8264,0.8320,0.8650,0.9201,0.8705
364,0.8269,0.8324,0.8654,0.9203,0.8709
365,0.8274,0.8329,0.8658,0.9205,0.8712
366,0.8279,0.8333,0.8661,0.9208,0.8716
367,0.8283,0.8338,0.8665,0.9210,0.8719
368,0.8288,0.8342,0.8668,0.9212,0.8723
369,0.8293,0.8347,0.8672,0.9214,0.8726
370,0.8297,0.8351,0.8676,0.9216,0.8730
371,0.8302,0.8356,0.8679,0.9218,0.8733
372,0.8306,0.8360,0.8683,0.9220,0.8737
373,0.8311,0.8365,0.8686,0.9223,0.8740
374,0.8316,0.8369,0.8690,0.9225,0.8743
375,0.8320,0.8373,0.8693,0.9227,0.8747
376,0.8324,0.8378,0.8697,0.9229,0.8750
377,0.8329,0.8382,0.8700,0.9231,0.8753
378,0.8307,0.8360,0.8677,0.9206,0.8730
379,0.8285,0.8338,0.8654,0.9208,0.8707
